strategy,n_trades,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,trades_per_year,turnover_pct,n_stocks_traded,sub_periods
BB-3.0_RSI3_35_hold3,1233,50.36,2.606,-2.811,-2.85,-0.26,-0.093,-0.042,-7.4,109.4,547.0,166,"{'2014-2017': {'sharpe': 0.399, 'return_pct': 4.47}, '2018-2021': {'sharpe': -0.215, 'return_pct': -2.37}, '2022-2024': {'sharpe': -1.16, 'return_pct': -4.57}}"
BB-3.0_RSI3_35_hold5,1231,53.21,3.094,-3.062,6.47,0.56,0.254,0.122,-8.15,109.2,546.0,166,"{'2014-2017': {'sharpe': 1.129, 'return_pct': 10.28}, '2018-2021': {'sharpe': 0.097, 'return_pct': 0.94}, '2022-2024': {'sharpe': -0.951, 'return_pct': -4.44}}"
BB-3.0_RSI3_40_hold2,1237,50.53,1.985,-2.595,-8.56,-0.79,-0.357,-0.136,-9.58,109.8,548.8,166,"{'2014-2017': {'sharpe': -0.229, 'return_pct': -2.68}, '2018-2021': {'sharpe': -0.204, 'return_pct': -1.59}, '2022-2024': {'sharpe': -1.095, 'return_pct': -4.53}}"
BB-3.0_RSI3_40_hold3,1233,50.36,2.606,-2.811,-2.85,-0.26,-0.093,-0.042,-7.4,109.4,547.0,166,"{'2014-2017': {'sharpe': 0.399, 'return_pct': 4.47}, '2018-2021': {'sharpe': -0.215, 'return_pct': -2.37}, '2022-2024': {'sharpe': -1.16, 'return_pct': -4.57}}"
BB-3.0_RSI3_40_hold5,1231,53.21,3.094,-3.062,6.47,0.56,0.254,0.122,-8.15,109.2,546.0,166,"{'2014-2017': {'sharpe': 1.129, 'return_pct': 10.28}, '2018-2021': {'sharpe': 0.097, 'return_pct': 0.94}, '2022-2024': {'sharpe': -0.951, 'return_pct': -4.44}}"
SMAdev-1.0_RSI3_30_hold2,4514,53.01,2.731,-2.832,12.11,1.02,0.206,0.169,-21.88,399.6,1997.8,147,"{'2014-2017': {'sharpe': 0.2, 'return_pct': 1.15}, '2018-2021': {'sharpe': 0.181, 'return_pct': 4.9}, '2022-2024': {'sharpe': 0.351, 'return_pct': 5.3}}"
SMAdev-1.0_RSI3_30_hold3,3903,51.83,3.41,-3.457,7.9,0.68,0.138,0.085,-29.44,345.6,1728.0,147,"{'2014-2017': {'sharpe': 0.436, 'return_pct': 3.14}, '2018-2021': {'sharpe': -0.147, 'return_pct': -7.31}, '2022-2024': {'sharpe': 0.698, 'return_pct': 11.27}}"
SMAdev-1.0_RSI3_35_hold2,4761,52.89,2.707,-2.849,9.02,0.77,0.157,0.122,-24.47,421.4,2107.1,147,"{'2014-2017': {'sharpe': 0.255, 'return_pct': 1.53}, '2018-2021': {'sharpe': 0.121, 'return_pct': 2.84}, '2022-2024': {'sharpe': 0.28, 'return_pct': 4.23}}"
SMAdev-1.0_RSI3_35_hold3,4072,51.57,3.402,-3.537,1.51,0.13,0.055,0.033,-33.25,360.6,1802.8,147,"{'2014-2017': {'sharpe': 0.342, 'return_pct': 2.43}, '2018-2021': {'sharpe': -0.239, 'return_pct': -11.59}, '2022-2024': {'sharpe': 0.653, 'return_pct': 10.71}}"
SMAdev-1.5_RSI3_30_hold2,2616,52.41,2.893,-2.89,8.77,0.75,0.216,0.161,-14.17,231.6,1158.2,115,"{'2014-2017': {'sharpe': 0.095, 'return_pct': 0.44}, '2018-2021': {'sharpe': 0.257, 'return_pct': 5.31}, '2022-2024': {'sharpe': 0.198, 'return_pct': 1.81}}"
