indicator,signal,horizon,direction,n_stocks,total_signals,avg_return,median_return,avg_win_rate,avg_t_stat,pct_stocks_positive
trend_kst_diff,P90_short,fwd_5d,short,213,55895,0.6832859154929577,0.5355,56.59164319248826,2.1450798122065726,84.50704225352112
trend_kst_sig,P10_long,fwd_1d,long,213,55895,0.16825446009389672,0.1488,52.5230985915493,0.970586854460094,92.01877934272301
trend_kst_sig,P10_long,fwd_2d,long,213,55895,0.3239981220657277,0.2986,54.26985915492958,1.421356807511737,90.61032863849765
trend_kst_sig,P10_long,fwd_3d,long,213,55895,0.4862347417840375,0.4519,55.431784037558685,1.7520985915492957,92.48826291079813
trend_kst_sig,P10_long,fwd_5d,long,213,55895,0.804249765258216,0.7546,56.75201877934273,2.3639906103286386,93.42723004694837
trend_kst_sig,P20_long,fwd_1d,long,213,111781,0.12024647887323944,0.1175,52.37431924882629,1.1308403755868544,92.95774647887323
trend_kst_sig,P20_long,fwd_2d,long,213,111781,0.23464131455399062,0.2246,53.96164319248826,1.6680798122065728,92.95774647887323
trend_kst_sig,P20_long,fwd_3d,long,213,111781,0.3572300469483568,0.345,54.95610328638497,2.0685774647887323,92.95774647887323
trend_kst_sig,P20_long,fwd_5d,long,213,111781,0.5998211267605633,0.5705,56.34727699530516,2.8144037558685446,93.89671361502347
trend_kst_sig,P80_short,fwd_1d,short,213,111781,0.045,0.0288,51.437558685446014,0.48664319248826293,74.17840375586854
trend_kst_sig,P80_short,fwd_2d,short,213,111781,0.0849056338028169,0.0543,52.08169014084507,0.6659342723004694,73.23943661971832
trend_kst_sig,P80_short,fwd_3d,short,213,111781,0.1255079812206573,0.0888,52.303380281690146,0.8131361502347418,72.76995305164318
trend_kst_sig,P80_short,fwd_5d,short,213,111781,0.2023169014084507,0.1435,52.770187793427226,1.0167699530516432,72.76995305164318
trend_kst_sig,P90_short,fwd_1d,short,213,55895,0.046914553990610335,0.0334,51.02549295774648,0.2688309859154929,66.66666666666666
trend_kst_sig,P90_short,fwd_2d,short,213,55895,0.08822535211267607,0.0579,51.66901408450704,0.38498591549295774,62.91079812206573
trend_kst_sig,P90_short,fwd_3d,short,213,55895,0.13391830985915493,0.0821,51.92460093896714,0.4956197183098591,61.502347417840376
trend_kst_sig,P90_short,fwd_5d,short,213,55895,0.22176291079812208,0.1302,52.36323943661972,0.7014131455399062,64.7887323943662
trend_macd,P10_long,fwd_1d,long,213,55895,0.12345586854460093,0.1215,52.47305164319249,0.711281690140845,88.73239436619718
trend_macd,P10_long,fwd_2d,long,213,55895,0.22128028169014086,0.2225,53.932676056338025,1.00537558685446,88.73239436619718
trend_macd,P10_long,fwd_3d,long,213,55895,0.3280192488262911,0.3313,54.53403755868545,1.2171924882629108,88.73239436619718
trend_macd,P10_long,fwd_5d,long,213,55895,0.5082262910798122,0.5064,55.864600938967136,1.5669107981220658,87.32394366197182
trend_macd,P20_long,fwd_1d,long,213,111781,0.10394366197183098,0.1096,52.553849765258214,1.006830985915493,88.73239436619718
trend_macd,P20_long,fwd_2d,long,213,111781,0.19682582159624415,0.2094,53.86431924882629,1.444206572769953,87.79342723004694
trend_macd,P20_long,fwd_3d,long,213,111781,0.294250234741784,0.3085,54.52943661971831,1.7389999999999999,89.2018779342723
trend_macd,P20_long,fwd_5d,long,213,111781,0.4731849765258216,0.5021,55.81032863849765,2.2473333333333336,89.2018779342723
trend_macd,P80_short,fwd_1d,short,213,111781,0.030038028169014085,0.0165,51.157558685446006,0.2768356807511737,63.38028169014085
trend_macd,P80_short,fwd_2d,short,213,111781,0.05985680751173709,0.0286,51.791643192488266,0.4124976525821596,61.502347417840376
trend_macd,P80_short,fwd_3d,short,213,111781,0.09570798122065728,0.0511,52.10854460093897,0.5333004694835681,61.97183098591549
trend_macd,P80_short,fwd_5d,short,213,111781,0.15972253521126759,0.0906,52.580140845070424,0.7133098591549296,64.7887323943662
trend_macd,P90_short,fwd_1d,short,213,55895,0.0030037558685446016,-0.0076,50.61572769953052,-0.0503943661971831,46.478873239436616
trend_macd,P90_short,fwd_2d,short,213,55895,0.007769483568075115,-0.0114,50.99159624413145,-0.03307042253521126,46.478873239436616
trend_macd,P90_short,fwd_3d,short,213,55895,0.014822065727699533,-0.0012,51.20981220657277,-0.005849765258215957,48.35680751173709
trend_macd,P90_short,fwd_5d,short,213,55895,0.031832863849765254,-0.0012,51.307652582159626,0.010347417840375576,49.76525821596244
trend_macd_diff,P10_long,fwd_1d,long,213,55895,0.06454553990610329,0.0585,52.153286384976525,0.43014553990610327,70.89201877934272
trend_macd_diff,P10_long,fwd_2d,long,213,55895,0.11494741784037558,0.0984,53.06178403755869,0.5929718309859154,69.48356807511738
trend_macd_diff,P10_long,fwd_3d,long,213,55895,0.16852957746478872,0.1465,53.35023474178404,0.7025633802816901,69.95305164319248
trend_macd_diff,P10_long,fwd_5d,long,213,55895,0.22066150234741785,0.1726,53.93323943661972,0.7664553990610329,66.19718309859155
trend_macd_diff,P20_long,fwd_1d,long,213,111781,0.06505258215962441,0.0577,52.461126760563374,0.6558638497652582,78.40375586854461
trend_macd_diff,P20_long,fwd_2d,long,213,111781,0.1240431924882629,0.1167,53.13492957746479,0.938530516431925,78.87323943661971
trend_macd_diff,P20_long,fwd_3d,long,213,111781,0.18617699530516432,0.1611,53.542723004694835,1.140417840375587,79.81220657276995
trend_macd_diff,P20_long,fwd_5d,long,213,111781,0.2733680751173709,0.264,54.33492957746479,1.3795727699530516,78.87323943661971
