indicator,signal,threshold,n_signals,horizon,avg_return_pct,win_rate,t_stat,direction,ticker
volume_nvi,P10_long,210.2493,275,fwd_2d,0.2423,57.45,2.098,long,AAPL
volume_nvi,P10_long,210.2493,275,fwd_3d,0.3657,57.09,2.674,long,AAPL
volume_nvi,P10_long,210.2493,275,fwd_5d,0.6435,55.64,3.682,long,AAPL
volume_nvi,P20_long,239.0267,552,fwd_1d,0.1304,53.44,2.121,long,AAPL
volume_nvi,P20_long,239.0267,552,fwd_2d,0.2548,57.43,2.845,long,AAPL
volume_nvi,P20_long,239.0267,552,fwd_3d,0.3762,57.97,3.421,long,AAPL
volume_nvi,P20_long,239.0267,552,fwd_5d,0.6206,56.88,4.51,long,AAPL
volume_nvi,P80_short,2073.9392,554,fwd_1d,0.0902,53.53,1.293,short,AAPL
volume_nvi,P80_short,2073.9392,554,fwd_2d,0.1855,53.8,1.856,short,AAPL
volume_nvi,P80_short,2073.9392,554,fwd_3d,0.2948,58.08,2.46,short,AAPL
volume_nvi,P80_short,2073.9392,554,fwd_5d,0.4652,57.19,3.051,short,AAPL
volume_nvi,P90_short,2268.4196,276,fwd_1d,0.055,52.36,0.597,short,AAPL
volume_nvi,P90_short,2268.4196,276,fwd_2d,0.0809,52.55,0.633,short,AAPL
volume_nvi,P90_short,2268.4196,276,fwd_3d,0.1164,56.78,0.75,short,AAPL
volume_nvi,P90_short,2268.4196,276,fwd_5d,0.203,54.98,1.078,short,AAPL
volatility_bbm,P10_long,109.3584,277,fwd_1d,0.1254,54.15,1.408,long,AAPL
volatility_bbm,P10_long,109.3584,277,fwd_2d,0.2753,55.6,2.154,long,AAPL
volatility_bbm,P10_long,109.3584,277,fwd_3d,0.4237,58.48,2.72,long,AAPL
volatility_bbm,P10_long,109.3584,277,fwd_5d,0.7138,58.12,3.646,long,AAPL
volatility_bbm,P20_long,118.0739,554,fwd_1d,0.1003,53.07,1.465,long,AAPL
volatility_bbm,P20_long,118.0739,554,fwd_2d,0.2127,54.87,2.212,long,AAPL
volatility_bbm,P20_long,118.0739,554,fwd_3d,0.333,56.86,2.863,long,AAPL
volatility_bbm,P20_long,118.0739,554,fwd_5d,0.563,57.22,3.89,long,AAPL
volatility_bbm,P80_short,212.646,554,fwd_1d,0.1728,56.6,1.862,short,AAPL
volatility_bbm,P80_short,212.646,554,fwd_2d,0.33,58.7,2.778,short,AAPL
volatility_bbm,P80_short,212.646,554,fwd_3d,0.4979,62.98,3.434,short,AAPL
volatility_bbm,P80_short,212.646,554,fwd_5d,0.869,63.75,4.763,short,AAPL
volatility_bbm,P90_short,271.544,277,fwd_1d,0.1561,55.23,1.036,short,AAPL
volatility_bbm,P90_short,271.544,277,fwd_2d,0.3386,58.48,1.796,short,AAPL
volatility_bbm,P90_short,271.544,277,fwd_3d,0.5123,62.45,2.203,short,AAPL
volatility_bbm,P90_short,271.544,277,fwd_5d,0.8949,64.26,2.976,short,AAPL
volatility_bbh,P10_long,114.9188,277,fwd_1d,0.1848,55.23,2.058,long,AAPL
volatility_bbh,P10_long,114.9188,277,fwd_2d,0.3752,57.4,2.87,long,AAPL
volatility_bbh,P10_long,114.9188,277,fwd_3d,0.531,60.29,3.37,long,AAPL
volatility_bbh,P10_long,114.9188,277,fwd_5d,0.891,60.65,4.486,long,AAPL
volatility_bbh,P20_long,124.4704,554,fwd_1d,0.1186,52.89,1.767,long,AAPL
volatility_bbh,P20_long,124.4704,554,fwd_2d,0.2426,55.05,2.608,long,AAPL
volatility_bbh,P20_long,124.4704,554,fwd_3d,0.3439,56.5,3.031,long,AAPL
volatility_bbh,P20_long,124.4704,554,fwd_5d,0.5797,57.04,4.028,long,AAPL
volatility_bbh,P80_short,227.3905,554,fwd_1d,0.1828,56.96,1.96,short,AAPL
volatility_bbh,P80_short,227.3905,554,fwd_2d,0.3381,59.24,2.826,short,AAPL
volatility_bbh,P80_short,227.3905,554,fwd_3d,0.5003,62.79,3.4,short,AAPL
volatility_bbh,P80_short,227.3905,554,fwd_5d,0.8373,64.3,4.508,short,AAPL
volatility_bbh,P90_short,309.6015,277,fwd_1d,0.1675,54.51,1.058,short,AAPL
volatility_bbh,P90_short,309.6015,277,fwd_2d,0.3282,57.4,1.688,short,AAPL
volatility_bbh,P90_short,309.6015,277,fwd_3d,0.4827,61.73,2.025,short,AAPL
volatility_bbh,P90_short,309.6015,277,fwd_5d,0.8084,62.82,2.652,short,AAPL
volatility_bbl,P10_long,101.8635,277,fwd_1d,0.1294,55.6,1.374,long,AAPL
volatility_bbl,P10_long,101.8635,277,fwd_2d,0.3088,57.04,2.471,long,AAPL
volatility_bbl,P10_long,101.8635,277,fwd_3d,0.4761,60.65,3.268,long,AAPL
volatility_bbl,P10_long,101.8635,277,fwd_5d,0.8884,59.93,5.091,long,AAPL
volatility_bbl,P20_long,111.1368,554,fwd_1d,0.1104,53.25,1.557,long,AAPL
volatility_bbl,P20_long,111.1368,554,fwd_2d,0.2393,55.6,2.417,long,AAPL
volatility_bbl,P20_long,111.1368,554,fwd_3d,0.3656,57.22,3.063,long,AAPL
volatility_bbl,P20_long,111.1368,554,fwd_5d,0.6194,57.22,4.188,long,AAPL
volatility_bbl,P80_short,196.4609,554,fwd_1d,0.2087,57.14,2.301,short,AAPL
volatility_bbl,P80_short,196.4609,554,fwd_2d,0.377,59.96,3.193,short,AAPL
volatility_bbl,P80_short,196.4609,554,fwd_3d,0.5607,63.88,3.881,short,AAPL
volatility_bbl,P80_short,196.4609,554,fwd_5d,0.9203,64.3,5.089,short,AAPL
volatility_bbl,P90_short,240.7282,277,fwd_1d,0.2987,57.76,2.107,short,AAPL
volatility_bbl,P90_short,240.7282,277,fwd_2d,0.5687,61.73,3.314,short,AAPL
volatility_bbl,P90_short,240.7282,277,fwd_3d,0.796,66.79,3.691,short,AAPL
volatility_bbl,P90_short,240.7282,277,fwd_5d,1.2331,69.31,4.309,short,AAPL
volatility_bbw,P10_long,5.3024,277,fwd_1d,0.0606,51.62,0.802,long,AAPL
volatility_bbw,P10_long,5.3024,277,fwd_2d,0.1812,55.96,1.637,long,AAPL
volatility_bbw,P10_long,5.3024,277,fwd_3d,0.3009,58.48,2.183,long,AAPL
volatility_bbw,P10_long,5.3024,277,fwd_5d,0.5323,60.29,2.98,long,AAPL
volatility_bbw,P20_long,6.4038,554,fwd_1d,0.1884,53.43,3.248,long,AAPL
volatility_bbw,P20_long,6.4038,554,fwd_2d,0.3643,56.5,4.202,long,AAPL
volatility_bbw,P20_long,6.4038,554,fwd_3d,0.5027,59.57,4.614,long,AAPL
volatility_bbw,P20_long,6.4038,554,fwd_5d,0.7393,60.47,5.394,long,AAPL
volatility_bbw,P80_short,15.308,554,fwd_1d,0.1575,52.71,1.558,short,AAPL
